"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RIOT",11.445,13.54,-0.154726735598,5.6367929E7,3.17747558E7,1.773984648530
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ICLK",7.37,8.72,-0.154816513761,89863.0,84918.35000000006,1.058228286348
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NVT",63.22,74.83,-0.155151677134,6720543.0,1518800.1000000015,4.424902921720
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ETN",311.55,368.98,-0.155645292427,1.0207062E7,2697492.3000000203,3.783907742757
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","GLBZ",4.595,5.45,-0.156880733944,34212.0,7880.149999999982,4.341541721921
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BTBT",3.11,3.69,-0.157181571815,2.3099716E7,1.623784765E7,1.422584846089
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NXE",6.09,7.24,-0.158839779005,1.6136935E7,8038307.75,2.007504004807
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SBET",0.374,0.4452,-0.159928122192,301558.0,261189.75,1.154555261069
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","HOVRW",0.0504,0.06,-0.159999999999,363803.0,203769.55,1.785364888914
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ICON",0.4242,0.5051,-0.160166303702,5255486.0,1416785.05,3.709444844861
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LUMN",4.97,5.92,-0.160472972972,1.9183316E7,9338479.3,2.054222682701
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","POWL",243.84,290.8,-0.161485557083,997946.0,462082.94999999984,2.159668518390
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","HOFVW",0.0055,0.0066,-0.166666666666,58194.0,29957.65,1.942542222103
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NVDA",118.575,142.62,-0.168594867480,8.10162947E8,2.3570495484999904E8,3.437190989538
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TSEM",45.5,54.74,-0.168797953964,2239103.0,647289.3,3.459199773578
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NPWR",8.25,9.97,-0.172517552657,1169716.0,680161.7,1.719761639033
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LB",64.19,77.69,-0.173767537649,1977289.0,607526.35,3.254655538809
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AVGO",202.13,244.7,-0.173968124233,9.023405E7,2.8693151099999867E7,3.144794020200
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","FOXXW",0.12375,0.15,-0.175,14438.0,7546.75,1.913141418491
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","INOD",33.19,40.28,-0.176017874875,2494852.0,1306450.3,1.909641721541
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MXL",19.04,23.17,-0.178247734138,3429182.0,1554202.3,2.206393594965
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","VICR",46.98,57.3,-0.180104712041,545538.0,223694.2,2.438766852247
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MTZ",130.84,159.75,-0.180970266040,2643554.0,856708.2,3.085711097430
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","PWR",292.43,358.03,-0.183224869424,4482297.0,1216162.6000000085,3.685606677922
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","OCEA",0.343,0.42,-0.183333333333,318040.0,190091.95,1.673085051734
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AGX",137.36,168.54,-0.185000593330,1054492.0,431024.9499999999,2.446475546253
