number,ticker,cap,name,industry,sector
1010,JBT,3.95B,John Bean Technologies Corporation,Specialty Industrial Machinery,Industrials
1011,ENS,3.94B,EnerSys,Electrical Equipment & Parts,Industrials
1012,DEI,3.93B,"Douglas Emmett, Inc.",REIT - Office,Real Estate
1013,CEIX,3.92B,CONSOL Energy Inc.,Thermal Coal,Energy
1014,APLE,3.92B,"Apple Hospitality REIT, Inc.",REIT - Hotel & Motel,Real Estate
1015,SLVM,3.91B,Sylvamo Corporation,Paper & Paper Products,Materials
1016,CPA,3.91B,"Copa Holdings, S.A.",Airlines,Industrials
1017,HGTY,3.91B,"Hagerty, Inc.",Insurance - Property & Casualty,Financials
1018,ESE,3.90B,ESCO Technologies Inc.,Scientific & Technical Instruments,Technology
1019,IGT,3.89B,International Game Technology PLC,Gambling,Consumer Discretionary
1020,PRGO,3.87B,Perrigo Company plc,Drug Manufacturers - Specialty & Generic,Healthcare
1021,APAM,3.85B,Artisan Partners Asset Management Inc.,Asset Management,Financials
1022,TNL,3.85B,Travel + Leisure Co.,Travel Services,Consumer Discretionary
1023,RIG,3.84B,Transocean Ltd.,Oil & Gas Drilling,Energy
1024,TBBB,3.83B,BBB Foods Inc.,Discount Stores,Consumer Staples
1025,TGLS,3.82B,Tecnoglass Inc.,Building Materials,Materials
1026,NVST,3.82B,Envista Holdings Corporation,Medical Instruments & Supplies,Healthcare
1027,SPR,3.81B,"Spirit AeroSystems Holdings, Inc.",Aerospace & Defense,Industrials
1028,GEO,3.80B,"The GEO Group, Inc.",Security & Protection Services,Industrials
1029,UNF,3.80B,UniFirst Corporation,Specialty Business Services,Industrials
1030,WD,3.80B,"Walker & Dunlop, Inc.",Mortgage Finance,Financials
1031,TDS,3.80B,"Telephone and Data Systems, Inc.",Telecom Services,Communication Services
1032,YOU,3.78B,"Clear Secure, Inc.",Software - Application,Technology
1033,WU,3.77B,The Western Union Company,Credit Services,Financials
1034,ALE,3.76B,"ALLETE, Inc.",Utilities - Diversified,Utilities
1035,ASH,3.76B,Ashland Inc.,Specialty Chemicals,Materials
1036,CBU,3.76B,"Community Financial System, Inc.",Banks - Regional,Financials
1037,OR,3.75B,Osisko Gold Royalties Ltd,Gold,Materials
1038,TEX,3.74B,Terex Corporation,Farm & Heavy Construction Machinery,Industrials
1039,HCC,3.71B,"Warrior Met Coal, Inc.",Coking Coal,Materials
1040,BBAR,3.71B,Banco BBVA Argentina S.A.,Banks - Regional,Financials
1041,CDP,3.69B,COPT Defense Properties,REIT - Office,Real Estate
1042,PBF,3.69B,PBF Energy Inc.,Oil & Gas Refining & Marketing,Energy
1043,STR,3.68B,Sitio Royalties Corp.,Oil & Gas Exploration & Production,Energy
1044,ATMU,3.66B,Atmus Filtration Technologies Inc.,Pollution & Treatment Controls,Industrials
1045,ENIC,3.65B,Enel Chile S.A.,Utilities - Regulated Electric,Utilities
1046,DOCN,3.65B,"DigitalOcean Holdings, Inc.",Software - Infrastructure,Technology
1047,HASI,3.65B,"HA Sustainable Infrastructure Capital, Inc.",Real Estate Services,Real Estate
1048,AQN,3.64B,Algonquin Power & Utilities Corp.,Utilities - Renewable,Utilities
1049,LMND,3.64B,"Lemonade, Inc.",Insurance - Property & Casualty,Financials
